2025-09-07 10:13:13 | INFO | scraper | Fetched page 4 for 07/03/2025
2025-09-07 10:13:13 | ERROR | scraper | Request exception on page 2 for 07/01/2025: 
2025-09-07 10:13:13 | ERROR | scraper | Request exception on page 5 for 07/01/2025: 
2025-09-07 10:13:13 | ERROR | scraper | Request exception on page 3 for 07/01/2025: 
2025-09-07 10:13:13 | ERROR | scraper | Request exception on page 4 for 07/01/2025: 
2025-09-07 10:13:13 | INFO | scraper | Fetched page 4 for 07/07/2025
2025-09-07 10:13:14 | INFO | scraper | Fetched page 2 for 07/17/2025
2025-09-07 10:13:14 | INFO | scraper | Fetched page 2 for 07/15/2025
2025-09-07 10:13:15 | INFO | scraper | Fetched page 2 for 07/16/2025
2025-09-07 10:13:15 | INFO | scraper | Skipped 500 existing records
2025-09-07 10:13:15 | INFO | scraper | Fetched page 3 for 07/02/2025
2025-09-07 10:13:15 | INFO | scraper | Fetched page 2 for 07/01/2025
2025-09-07 10:13:15 | INFO | scraper | Fetched page 4 for 07/16/2025
2025-09-07 10:13:16 | INFO | scraper | Fetched page 3 for 07/07/2025
2025-09-07 10:13:16 | ERROR | scraper | Request exception on page 2 for 07/22/2025: 
2025-09-07 10:13:16 | ERROR | scraper | Request exception on page 5 for 07/22/2025: 
2025-09-07 10:13:16 | ERROR | scraper | Request exception on page 3 for 07/22/2025: 
2025-09-07 10:13:16 | ERROR | scraper | Request exception on page 4 for 07/22/2025: 
2025-09-07 10:13:19 | INFO | scraper | Fetched page 2 for 07/22/2025
2025-09-07 10:13:20 | INFO | scraper | Updated date collection for 07/28/2025: Page 1, Failed pages: []
2025-09-07 10:13:21 | INFO | scraper | Fetched page 5 for 07/01/2025
2025-09-07 10:13:21 | INFO | scraper | Fetched page 4 for 07/01/2025
2025-09-07 10:13:22 | INFO | scraper | Fetched page 3 for 07/01/2025
2025-09-07 10:13:22 | INFO | scraper | Fetched page 1 for 07/28/2025
2025-09-07 10:13:23 | ERROR | scraper | Request exception on page 2 for 07/14/2025: 
2025-09-07 10:13:23 | ERROR | scraper | Request exception on page 5 for 07/14/2025: 
2025-09-07 10:13:23 | ERROR | scraper | Request exception on page 3 for 07/14/2025: 
2025-09-07 10:13:23 | ERROR | scraper | Request exception on page 4 for 07/14/2025: 
2025-09-07 10:13:23 | INFO | scraper | Updated date collection for 07/21/2025: Page 1, Failed pages: []
2025-09-07 10:13:24 | INFO | scraper | Fetched page 4 for 07/22/2025
2025-09-07 10:13:24 | ERROR | scraper | Request exception on page 2 for 07/20/2025: 
2025-09-07 10:13:24 | ERROR | scraper | Request exception on page 5 for 07/20/2025: 
2025-09-07 10:13:24 | ERROR | scraper | Request exception on page 4 for 07/20/2025: 
2025-09-07 10:13:24 | ERROR | scraper | Request exception on page 2 for 07/10/2025: 
2025-09-07 10:13:24 | ERROR | scraper | Request exception on page 1 for 07/10/2025: 
2025-09-07 10:13:24 | ERROR | scraper | Request exception on page 5 for 07/10/2025: 
2025-09-07 10:13:24 | ERROR | scraper | Request exception on page 3 for 07/10/2025: 
